date,close,open,high,low
15/02/2021,0.722,0.722,0.722,0.722
12/02/2021,0.722,0.722,0.722,0.722
11/02/2021,0.695,0.722,0.722,0.695
10/02/2021,0.722,0.722,0.722,0.722
09/02/2021,0.822,0.832,0.832,0.822
08/02/2021,0.832,0.834,0.834,0.832
05/02/2021,0.834,0.834,0.834,0.834
04/02/2021,0.827,0.813,0.827,0.813
03/02/2021,0.827,0.813,0.827,0.813
02/02/2021,0.813,0.847,0.847,0.813
01/02/2021,0.847,0.84,0.847,0.84
29/01/2021,0.84,0.89,0.89,0.84
28/01/2021,0.89,0.775,0.89,0.775
27/01/2021,0.775,0.756,0.775,0.756
26/01/2021,0.756,0.745,0.756,0.745
25/01/2021,0.745,0.745,0.745,0.745
22/01/2021,0.738,0.718,0.738,0.718
21/01/2021,0.718,0.718,0.718,0.718
20/01/2021,0.709,0.689,0.709,0.689
19/01/2021,0.689,0.696,0.696,0.689
18/01/2021,0.695,0.659,0.695,0.659
15/01/2021,0.659,0.685,0.685,0.659
14/01/2021,0.685,0.685,0.685,0.685
13/01/2021,0.686,0.765,0.765,0.686
12/01/2021,0.765,0.788,0.788,0.765
11/01/2021,0.788,0.776,0.788,0.776
08/01/2021,0.776,0.776,0.776,0.752
07/01/2021,0.753,0.766,0.766,0.753
06/01/2021,0.766,0.742,0.766,0.742
05/01/2021,0.742,0.702,0.742,0.702
04/01/2021,0.702,0.661,0.702,0.661
31/12/2020,0.661,0.622,0.661,0.622
30/12/2020,0.622,0.575,0.622,0.622
29/12/2020,0.583,0.575,0.583,0.575
28/12/2020,0.575,0.508,0.575,0.508
25/12/2020,0.508,0.51,0.51,0.508
24/12/2020,0.51,0.511,0.511,0.51
23/12/2020,0.511,0.512,0.512,0.511
22/12/2020,0.512,0.514,0.514,0.512
21/12/2020,0.514,0.517,0.517,0.514
18/12/2020,0.517,0.517,0.517,0.517
17/12/2020,0.517,0.508,0.517,0.508
16/12/2020,0.508,0.517,0.517,0.508
15/12/2020,0.517,0.506,0.517,0.506
14/12/2020,0.506,0.561,0.561,0.506
11/12/2020,0.561,0.563,0.563,0.561
10/12/2020,0.563,0.58,0.58,0.563
09/12/2020,0.581,0.581,0.581,0.581
08/12/2020,0.58,0.582,0.582,0.58
07/12/2020,0.581,0.584,0.584,0.581
04/12/2020,0.584,0.576,0.584,0.576
03/12/2020,0.576,0.56,0.576,0.56
02/12/2020,0.56,0.561,0.561,0.56
01/12/2020,0.56,0.562,0.562,0.56
30/11/2020,0.562,0.557,0.562,0.557
27/11/2020,0.557,0.557,0.557,0.557
26/11/2020,0.557,0.562,0.562,0.557
25/11/2020,0.562,0.534,0.562,0.534
24/11/2020,0.535,0.57,0.57,0.535
23/11/2020,0.57,0.572,0.572,0.57
20/11/2020,0.572,0.573,0.573,0.572
19/11/2020,0.573,0.557,0.573,0.557
18/11/2020,0.557,0.575,0.575,0.557
17/11/2020,0.575,0.578,0.578,0.575
16/11/2020,0.578,0.584,0.584,0.578
13/11/2020,0.584,0.586,0.586,0.584
12/11/2020,0.586,0.588,0.588,0.586
11/11/2020,0.588,0.589,0.589,0.588
10/11/2020,0.589,0.591,0.591,0.589
09/11/2020,0.591,0.591,0.591,0.588
06/11/2020,0.589,0.588,0.589,0.588
05/11/2020,0.591,0.594,0.594,0.591
04/11/2020,0.595,0.603,0.603,0.595
03/11/2020,0.604,0.604,0.604,0.604
02/11/2020,0.605,0.615,0.615,0.602
30/10/2020,0.481,0.473,0.481,0.473
29/10/2020,0.474,0.475,0.475,0.474
28/10/2020,0.475,0.486,0.486,0.475
27/10/2020,0.486,0.475,0.486,0.475
26/10/2020,0.475,0.486,0.486,0.475
23/10/2020,0.486,0.475,0.486,0.475
22/10/2020,0.476,0.485,0.485,0.476
21/10/2020,0.485,0.485,0.499,0.485
20/10/2020,0.499,0.51,0.51,0.499
19/10/2020,0.51,0.491,0.51,0.491
16/10/2020,0.491,0.491,0.491,0.491
15/10/2020,0.492,0.504,0.504,0.492
